DateTime (ISO 8601 NZST),Stage,Group/Bracket,Home,Away,Venue,City
2026-06-12T07:00:00+12:00,First Stage,Group A,MEX,RSA,Mexico City Stadium,Mexico City
2026-06-12T14:00:00+12:00,First Stage,Group A,KOR,CZE,Guadalajara Stadium,Guadalajara
2026-06-13T07:00:00+12:00,First Stage,Group B,CAN,BIH,Toronto Stadium,Toronto
2026-06-13T13:00:00+12:00,First Stage,Group D,USA,PAR,Los Angeles Stadium,Los Angeles
2026-06-14T07:00:00+12:00,First Stage,Group B,QAT,SUI,San Francisco Bay Area Stadium,San Francisco Bay Area
2026-06-14T10:00:00+12:00,First Stage,Group C,BRA,MAR,New York/New Jersey Stadium,New York
2026-06-14T13:00:00+12:00,First Stage,Group C,HAI,SCO,Boston Stadium,Boston
2026-06-14T16:00:00+12:00,First Stage,Group D,AUS,TUR,BC Place Vancouver,Vancouver
2026-06-15T05:00:00+12:00,First Stage,Group E,GER,CUW,Houston Stadium,Houston
2026-06-15T08:00:00+12:00,First Stage,Group F,NED,JPN,Dallas Stadium,Dallas
2026-06-15T11:00:00+12:00,First Stage,Group E,CIV,ECU,Philadelphia Stadium,Philadelphia
2026-06-15T14:00:00+12:00,First Stage,Group F,SWE,TUN,Monterrey Stadium,Monterrey
2026-06-16T04:00:00+12:00,First Stage,Group H,ESP,CPV,Atlanta Stadium,Atlanta
2026-06-16T07:00:00+12:00,First Stage,Group G,BEL,EGY,Seattle Stadium,Seattle
2026-06-16T10:00:00+12:00,First Stage,Group H,KSA,URU,Miami Stadium,Miami
2026-06-16T13:00:00+12:00,First Stage,Group G,IRN,NZL,Los Angeles Stadium,Los Angeles
2026-06-17T07:00:00+12:00,First Stage,Group I,FRA,SEN,New York/New Jersey Stadium,New York
2026-06-17T10:00:00+12:00,First Stage,Group I,IRQ,NOR,Boston Stadium,Boston
2026-06-17T13:00:00+12:00,First Stage,Group J,ARG,ALG,Kansas City Stadium,Kansas City
2026-06-17T16:00:00+12:00,First Stage,Group J,AUT,JOR,San Francisco Bay Area Stadium,San Francisco Bay Area
2026-06-18T05:00:00+12:00,First Stage,Group K,POR,COD,Houston Stadium,Houston
2026-06-18T08:00:00+12:00,First Stage,Group L,ENG,CRO,Dallas Stadium,Dallas
2026-06-18T11:00:00+12:00,First Stage,Group L,GHA,PAN,Toronto Stadium,Toronto
2026-06-18T14:00:00+12:00,First Stage,Group K,UZB,COL,Mexico City Stadium,Mexico City
2026-06-19T04:00:00+12:00,First Stage,Group A,CZE,RSA,Atlanta Stadium,Atlanta
2026-06-19T07:00:00+12:00,First Stage,Group B,SUI,BIH,Los Angeles Stadium,Los Angeles
2026-06-19T10:00:00+12:00,First Stage,Group B,CAN,QAT,BC Place Vancouver,Vancouver
2026-06-19T13:00:00+12:00,First Stage,Group A,MEX,KOR,Guadalajara Stadium,Guadalajara
2026-06-20T07:00:00+12:00,First Stage,Group D,USA,AUS,Seattle Stadium,Seattle
2026-06-20T10:00:00+12:00,First Stage,Group C,SCO,MAR,Boston Stadium,Boston
2026-06-20T12:30:00+12:00,First Stage,Group C,BRA,HAI,Philadelphia Stadium,Philadelphia
2026-06-20T15:00:00+12:00,First Stage,Group D,TUR,PAR,San Francisco Bay Area Stadium,San Francisco Bay Area
2026-06-21T05:00:00+12:00,First Stage,Group F,NED,SWE,Houston Stadium,Houston
2026-06-21T08:00:00+12:00,First Stage,Group E,GER,CIV,Toronto Stadium,Toronto
